job_title,skills
Real Estate Agent,"Property Listings, Negotiation Skills, Market Knowledge, Real Estate Transactions, Property Valuation"
Reservation Agent,"Booking Management, Reservation Systems, Customer Service, Travel Planning, Tourism Knowledge"
Sign Language Interpreter,"Language Proficiency, Communication, Cultural Awareness, Interpretation, Translation"
Stylist,"Hair Styling, Color Mixing, Client Consultation, Fashion Trends, Personal Styling"
Tour Coordinator,"Tour Planning, Local Knowledge, Customer Service, Itinerary Creation, Tour Guiding"
Travel Agent,"Travel Booking, Destination Knowledge, Customer Service, Reservation Systems, Travel Planning"
Wedding Planner,"Event Coordination, Vendor Management, Budgeting, Wedding Planning, Client Consultation"
Baker,"Baking Techniques, Recipe Creation, Food Safety, Pastry Artistry, Baking Equipment Usage"
Butcher,"Meat Cutting, Knife Skills, Hygiene Practices, Butchering Techniques, Meat Preparation"
Farmhand,"Animal Care, Farm Work, Equipment Usage, Livestock Handling, Crop Management"
Florist,"Flower Arrangement, Floral Design, Plant Care, Floristry Tools, Wedding Flowers"
Gardener,"Garden Planning, Planting, Maintenance, Garden Design, Horticulture"
Jeweler,"Jewelry Making Techniques, Precious Metal Knowledge, Gemstone Selection, Jewelry Design, Jewelry Repair"
Lifeguard,"Lifesaving Techniques, CPR, Vigilance, Water Rescue, Lifeguarding Equipment"
Pool Cleaner,"Pool Maintenance, Cleaning, Chemical Balancing, Pool Equipment Maintenance, Pool Safety"
Sommelier,"Wine Knowledge, Pairing Recommendations, Customer Service, Wine Tasting, Wine Sales"
Wine Steward,"Wine Selection, Tasting Techniques, Customer Service, Wine Education, Wine Cellar Management"
Tour Operator,"Tour Planning, Local Knowledge, Customer Service, Itinerary Creation, Tour Guiding"
Dance Instructor,"Dance Instruction, Choreography, Music Selection, Dance Technique, Dance Styles"
Flight Instructor,"Flight Training, Safety Procedures, Navigation, Aircraft Handling, Flight Planning"
Gymnastics Coach,"Gymnastics Instruction, Skill Development, Safety, Gymnastics Techniques, Progression Drills"
Soccer Coach,"Soccer Training, Strategy, Skill Development, Soccer Drills, Tactical Analysis"
Swim Instructor,"Swimming Instruction, Water Safety, Stroke Technique, Swim Lessons, Lifesaving Techniques"
Voice Coach,"Voice Training, Vocal Techniques, Performance Skills, Singing Styles, Vocal Health"
Web Developer,"Web Development Languages, Frameworks, Design Principles, Frontend Development, Backend Development"
App Developer,"Mobile Development Languages, SDKs, Platform Guidelines, App Development, Mobile UI Design"
Software Tester,"Software Testing Techniques, Bug Reporting, Test Case Design, Regression Testing, Test Automation"
Quality Assurance Analyst,"Software Quality Assurance Processes, Test Automation, Regression Testing, Quality Metrics, Test Documentation"
Systems Analyst,"System Analysis, Requirement Gathering, UML Diagrams, Business Analysis, System Design"
Network Administrator,"Network Setup, Troubleshooting, Security Protocols, Network Optimization, Network Monitoring"
Database Administrator,"Database Management, SQL, Data Modeling, Database Design, Database Administration"
Cybersecurity Analyst,"Cybersecurity Threats, Network Security, Penetration Testing, Cybersecurity Tools, Incident Response"
IT Support Specialist,"Technical Support, Troubleshooting, Customer Service, Help Desk Support, Remote Support"
